"year","team","seed","games","ppg","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","wins","points_allowed","rpg","fg_percent","ft_percent","fg3_percent","total_possessions","total_points","ppp","total_points_allowed","dppp","efg","ts","win_percent","possessions_per_game"
2016,"Kansas",1,33,80.303030303,28.1515151515,57.6060606061,8.12121212121,19.2424242424,15.8787878788,22.4848484848,10.5454545455,26.7878787879,15.4545454545,12.5454545455,6.75757575758,4,18.9090909091,29,67.6060606061,37.3333333334,48.869016307147,70.6199460918504,42.204724409491,2293.4800000006,2649.999999999,1.15544936079596,2231.0000000013,0.972757556203115,55.9179379273402,59.4842602402331,87.8787878787879,69.499393939412
2016,"Maryland",5,32,75.53125,26.5,54.59375,7.75,20.625,14.78125,19.4375,9.21875,26.15625,14.0625,12.84375,5.75,5.375,16.625,24,66.40625,35.375,48.5403548941042,76.0450160771704,37.5757575757576,2136.68,2417,1.13119418911582,2125,0.994533575453507,55.638236977676,59.8065997584971,75,66.77125
2016,"Miami FL",3,32,75.625,26.15625,54.875,6.84375,18.71875,16.46875,21.9375,9.6875,25.0625,12.8125,10.65625,6.0625,3.625,16.5625,25,66.8125,34.75,47.6651480637813,75.0712250712251,36.5609348914858,2095.88,2420,1.15464625837357,2138,1.02009657041434,53.9009111617312,58.5990469179807,78.125,65.49625
2016,"Villanova",2,34,76.9705882353,26.6176470588,56.9411764706,8.55882352941,24.9117647059,15.1764705882,19.5294117647,9.26470588235,26.3529411765,16.1470588235,11.1176470588,6.73529411765,3.41176470588,17.5294117647,29,63.7058823529,35.61764705885,46.7458677685441,77.7108433733367,34.3565525383393,2291.15999999961,2617.0000000002,1.14221616997532,2165.9999999986,0.945372649661729,54.2613636363096,58.725585236245,85.2941176470588,67.387058823518
2016,"Oregon",1,33,78.5454545455,27.303030303,58.8787878788,7,19.9696969697,16.9393939394,23.696969697,11.7575757576,24,13.6363636364,11.3636363636,7.60606060606,5.81818181818,18.0303030303,27,69.3939393939,35.7575757576,46.3715903241799,71.4833759590134,35.0531107738945,2274.07999999884,2592.0000000015,1.13980159009482,2289.9999999987,1.00700063322305,52.3160061759542,56.6661419801788,81.8181818181818,68.91151515148
2016,"Duke",4,33,81.4545454545,27.4242424242,59.7575757576,9.27272727273,23.9696969697,17.3333333333,24,12.2424242424,24.0909090909,13.4848484848,9.87878787879,6.39393939394,4.18181818182,16.6363636364,23,72.0606060606,36.3333333333,45.8924949289165,72.2222222220833,38.6852085967195,2242.48000000167,2687.9999999985,1.19867289786152,2377.9999999998,1.06043309193305,53.6511156185708,57.9190512307276,69.6969696969697,67.95393939399
2016,"Texas A&M",3,34,75.9117647059,26.6470588235,59.2941176471,7.67647058824,21.9117647059,14.9411764706,22.2058823529,12.8235294118,26.0588235294,16.8823529412,11.7941176471,6.91176470588,3.76470588235,18.0882352941,26,65.5294117647,38.8823529412,44.9404761903954,67.2847682120983,35.0335570469731,2313.20000000098,2581.0000000006,1.1157703614039,2227.9999999998,0.963167905930681,51.4136904761091,54.9569883314824,76.4705882352941,68.035294117676
2016,"Oklahoma",2,32,80.40625,27.625,60.25,10.4375,24.5,14.71875,20.21875,10.71875,28.09375,14.53125,12.96875,6.90625,5.25,16.8125,25,70.4375,38.8125,45.850622406639,72.7975270479134,42.6020408163265,2284.68,2573,1.12619710418965,2254,0.986571423569165,54.5124481327801,58.1421624455412,78.125,71.39625
2016,"North Carolina",1,34,82.2647058824,30.7941176471,64.3235294118,5.38235294118,17.1470588235,15.2941176471,20.7352941176,14.0294117647,26.9411764706,18.1176470588,10.9117647059,6.88235294118,4.38235294118,17.9117647059,28,69.5588235294,40.9705882353,47.8737997256893,73.7588652485929,31.3893653517039,2391.2000000013,2797.0000000016,1.16970558715293,2364.9999999996,0.989043158246202,52.0576131687625,56.0027230498367,82.3529411764706,70.329411764744
2016,"Indiana",5,32,82.28125,29.1875,58.25,9.875,23.8125,14.03125,19.40625,12.03125,25.34375,15.96875,13.65625,6.9375,3.96875,18.1875,25,68.90625,37.375,50.1072961373391,72.3027375201288,41.4698162729659,2189.24,2633,1.20270048053206,2205,1.00719884526137,58.5836909871245,61.5981359136082,78.125,68.41375
